conceito_candidato,ocorrencias,esta_no_vocabulario
"uma Equipe mantém a Posse da Bola até o Sinal do Cronometrista, então o Tempo Técnico de Equipe",1,False
Cronometrista interrompe a Partida com Sinal de Apito,1,False
o Sinal Manual 14,1,False
Cronometrista aponta para a Equipe solicitante,1,False
Oficial de Equipe coloca o Cartão Verde na areia,1,False
o centro da Linha Lateral durante o Tempo Técnico de Equipe,1,False
aproximadamente 1 metro da Linha Lateral,1,False
Cartão Verde permanece nessa posição até o término do Período,1,False
Árbitros concedem Tempo Técnico,1,False
Cronometrista interrompe o Cronômetro,1,False
Cronometrista inicia um Cronômetro Separado,1,False
Cronômetro Separado,1,False
a duração do Tempo Técnico de Equipe,1,False
Secretário registra o instante do Tempo Técnico de Equipe,1,False
Secretário registra o Período do Tempo Técnico de Equipe,1,False
Atleta permanece na própria Área de Substituição ou na Quadra de Jogo durante Tempo Técnico de Equipe,1,False
Oficial de Equipe permanece na própria Área de Substituição ou na Quadra de Jogo durante Tempo Técnico de Equipe,1,False
Árbitros permanecem no centro da Quadra de Jogo durante Tempo Técnico de Equipe,1,False
a Mesa durante Tempo Técnico de Equipe,1,False
Infração durante Tempo Técnico de Equipe produz a mesma consequência de uma Infração durante Tempo de Jogo,1,False
Conduta Antidesportiva durante Tempo Técnico de Equipe,1,False
Sinal Acústico após exatamente 50 segundos,1,False
Sinal Acústico informa reinício em exatamente 10 segundos,1,False
estado PRONTA no término do Tempo Técnico de Equipe,1,False
"a Bola estava fora de jogo, então a Partida",1,False
"a Bola estava em jogo, então a Partida",1,False
Tiro Livre para a Equipe solicitante,1,False
Tiro Livre após Tempo Técnico de Equipe utiliza o local da Bola no instante da interrupção,1,False
Sinal de Apito do Árbitro inicia o Cronômetro após Tempo Técnico de Equipe,1,False
Posse da Bola inclui Tiro de Goleiro concedido,1,False
Posse da Bola inclui Lateral concedido,1,False
Posse da Bola inclui Tiro Livre concedido,1,False
Posse da Bola inclui Tiro de 6 Metros concedido,1,False
Bola em Jogo exige contato de um Atleta com a Bola,1,False
Bola em Jogo inclui retenção da Bola,1,False
Bola em Jogo inclui Arremesso da Bola,1,False
Bola em Jogo inclui recepção da Bola,1,False
Bola em Jogo inclui passe da Bola,1,False
Bola em Jogo inclui Posse da Bola pela Equipe,1,False
Atraso de Reinício,1,False
Descarte da Bola após interrupção,1,False
Retenção da Bola após interrupção,1,False
Reposicionamento de Linha da Quadra,1,False
ESFÉRICA,1,False
borracha,1,False
ANTIDERRAPANTE,1,False
Partida utiliza exatamente uma Bola em jogo por instante,1,False
no mínimo 350 gramas,1,False
no máximo 370 gramas,1,False
no mínimo 54 centímetros,1,False
no máximo 56 centímetros,1,False
no mínimo 280 gramas,1,False
no máximo 300 gramas,1,False
no mínimo 50 centímetros,1,False
no máximo 52 centímetros,1,False
Partida Infantil,1,False
Bola Infantil,1,False
Bola Infantil possui_tamanho,1,False
de no mínimo 4 Bolas Regulamentares antes do início,1,False
exatamente três Bolas Reservas,1,False
Área Designada atrás de cada Baliza,1,False
